model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.1317204385995865,0.2504033148288727,0.038381443766411394,4.25,0.03943546675145626,0.07365068793296814,0,-0.1317204385995865
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.03681926429271698,0.32350724935531616,0.568070326000452,0.375,-0.1285233348608017,-0.10453979671001434,0,-0.03681926429271698
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.16733241826295853,0.19339291751384735,0.07770200876984745,4.0,-0.0305238775908947,-0.021235264837741852,0,-0.16733241826295853
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.3096419498324394,0.12155510485172272,0.11780028487555683,3.75,0.015187375247478485,0.11747170239686966,0,-0.3096419498324394
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.14385168254375458,0.3275398313999176,0.13025158271193504,5.125,0.14220821857452393,0.14599832892417908,0,-0.14385168254375458
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.3347664922475815,0.2143326699733734,0.23334219463868067,1.875,0.1351015381515026,0.15520557761192322,0,-0.3347664922475815
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.09023329615592957,0.32156825065612793,0.6624471300747246,0.5,-0.02560694608837366,0.016994444653391838,0,-0.09023329615592957
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.2832557335495949,0.13856349885463715,0.17946914955973625,3.125,0.1357821822166443,0.13938112556934357,0,-0.2832557335495949
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.19893520325422287,0.18965382874011993,0.18444240116514266,2.5,0.0747287180274725,0.09244750440120697,0,-0.19893520325422287
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.11231069266796112,0.26390406489372253,0.008197048853617162,6.375,0.06463831290602684,0.0773690938949585,0,-0.11231069266796112
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.22405456006526947,0.22197642922401428,0.4986596181988716,0.75,0.05714501440525055,0.05817494913935661,0,-0.22405456006526947
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.26472869515419006,0.21797782182693481,0.6841045907349326,0.375,0.09721222706139088,0.15239490568637848,0,-0.26472869515419006
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.04207596182823181,0.32563039660453796,0.02912158367689699,4.875,0.04169829376041889,0.1311429738998413,0,-0.04207596182823181
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.2099294736981392,0.18658708035945892,0.3457144797721412,0.75,0.0407551284879446,0.0493832603096962,0,-0.2099294736981392
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.17844781279563904,0.26125967502593994,0.48531675653066486,0.625,0.08986019715666771,0.0912487804889679,0,-0.17844781279563904
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.32796774059534073,0.18042467534542084,0.5731468987651169,0.25,0.0775880515575409,0.0943225622177124,0,-0.32796774059534073
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.32429155707359314,0.1795162558555603,0.15420175017789006,3.625,0.013136662542819977,0.019451575353741646,0,-0.32429155707359314
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.10720129311084747,0.2803513705730438,0.020994314923882484,5.25,0.12286833301186562,0.1558932662010193,0,-0.10720129311084747
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.20235580205917358,0.2655540108680725,0.3059602825087495,1.625,0.04873967543244362,0.07888057082891464,0,-0.20235580205917358
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.3767443336546421,0.07593583315610886,0.6308676041226136,0.625,0.016129550989717245,0.021939534693956375,0,-0.3767443336546421
